remedy,symptoms,disease,potency,source
Berberis Aquifolium,allergic rash; rash; oily skin; hormonal acne; pimples; eczema,general,30C,synthetic materia medica
Natrum Muriaticum,sensitive skin; cracked skin; hormonal acne; burning; eczema,general,6X,synthetic materia medica
Arsenicum Album,pus formation; allergic rash; swelling,skin,6X,synthetic materia medica
Mercurius Solubilis,rash; dry skin; chronic eruptions; itching; oily skin; eczema,chronic,Q,synthetic materia medica
Bryonia,pus formation; burning; oily skin; pimples,general,200C,synthetic materia medica
Antimonium Crudum,pus formation; allergic rash; pimples; rash; hormonal acne; oily skin,chronic,30C,synthetic materia medica
Sepia,facial eruptions; dry skin; pigmentation,chronic,30C,synthetic materia medica
Belladonna,burning; pus formation; pigmentation,acute inflammation,30C,synthetic materia medica
Lycopodium,swelling; dull skin; dry skin,chronic,30C,synthetic materia medica
Calcarea Sulph,rash; eczema; hormonal acne; pimples; dull skin,skin,30C,synthetic materia medica
Berberis Aquifolium,cracked skin; itching; dry skin; redness; vesicular eruptions,skin,6X,synthetic materia medica
Mercurius Solubilis,facial eruptions; chronic eruptions; cracked skin,hormonal,200C,synthetic materia medica
Arsenicum Album,vesicular eruptions; burning; rash; pus formation,chronic,30C,synthetic materia medica
Berberis Aquifolium,vesicular eruptions; oily skin; dry skin; allergic rash; burning; facial eruptions,hormonal,30C,synthetic materia medica
Kali Bromatum,pigmentation; acne; rash,chronic,6X,synthetic materia medica
Nux Vomica,burning; pigmentation; facial eruptions; pus formation,skin,Q,synthetic materia medica
Natrum Muriaticum,cracked skin; dry skin; pus formation; acne,allergy,200C,synthetic materia medica
Natrum Muriaticum,eczema; rash; itching,acute inflammation,30C,synthetic materia medica
Berberis Aquifolium,facial eruptions; hormonal acne; oily skin; redness; vesicular eruptions; acne,general,200C,synthetic materia medica
Nux Vomica,itching; pus formation; facial eruptions; oily skin; pimples; cracked skin,general,30C,synthetic materia medica
Kali Bromatum,allergic rash; chronic eruptions; cracked skin; itching; sensitive skin,chronic,Q,synthetic materia medica
Apis Mellifica,hormonal acne; dull skin; pigmentation,hormonal,Q,synthetic materia medica
Silicea,chronic eruptions; burning; redness; sensitive skin; dry skin; pigmentation,acute inflammation,6X,synthetic materia medica
Arsenicum Album,facial eruptions; pus formation; redness; dry skin,chronic,30C,synthetic materia medica
Antimonium Crudum,swelling; burning; sensitive skin; vesicular eruptions,general,200C,synthetic materia medica
Natrum Muriaticum,dull skin; rash; dry skin; redness,hormonal,6X,synthetic materia medica
Apis Mellifica,acne; dull skin; sensitive skin; eczema; burning,general,30C,synthetic materia medica
Thuja Occidentalis,cracked skin; swelling; pigmentation; allergic rash; sensitive skin; chronic eruptions,skin,30C,synthetic materia medica
Arsenicum Album,vesicular eruptions; pus formation; eczema,acute inflammation,200C,synthetic materia medica
Hepar Sulph,pus formation; cracked skin; dry skin; facial eruptions,general,200C,synthetic materia medica
Silicea,pimples; chronic eruptions; oily skin; swelling; dry skin,allergy,6X,synthetic materia medica
Thuja Occidentalis,pus formation; swelling; cracked skin,acute inflammation,30C,synthetic materia medica
Belladonna,pimples; dull skin; itching; rash; facial eruptions; pigmentation,acute inflammation,30C,synthetic materia medica
Arsenicum Album,dull skin; pus formation; redness; sensitive skin; itching; pimples,hormonal,6X,synthetic materia medica
Graphites,vesicular eruptions; acne; allergic rash; rash; pigmentation,general,Q,synthetic materia medica
Mercurius Solubilis,pus formation; swelling; cracked skin; redness,acute inflammation,200C,synthetic materia medica
Silicea,oily skin; vesicular eruptions; dull skin; swelling; itching,general,Q,synthetic materia medica
Antimonium Crudum,cracked skin; swelling; hormonal acne,acute inflammation,Q,synthetic materia medica
Natrum Muriaticum,burning; allergic rash; pigmentation,chronic,30C,synthetic materia medica
Sulphur,burning; pigmentation; swelling; redness; eczema; dull skin,general,Q,synthetic materia medica
Belladonna,eczema; acne; pimples; pus formation; dull skin,acute inflammation,6X,synthetic materia medica
Hepar Sulph,cracked skin; acne; eczema; rash; sensitive skin,general,Q,synthetic materia medica
Antimonium Crudum,facial eruptions; burning; allergic rash; vesicular eruptions; hormonal acne,general,30C,synthetic materia medica
Bryonia,burning; acne; oily skin,acute inflammation,200C,synthetic materia medica
Natrum Muriaticum,burning; pimples; cracked skin; eczema; acne,general,Q,synthetic materia medica
Mercurius Solubilis,hormonal acne; redness; chronic eruptions; allergic rash; pimples,chronic,200C,synthetic materia medica
Rhus Toxicodendron,pimples; swelling; pus formation; vesicular eruptions,skin,6X,synthetic materia medica
Mercurius Solubilis,facial eruptions; hormonal acne; sensitive skin,chronic,Q,synthetic materia medica
Calcarea Sulph,cracked skin; dry skin; redness,hormonal,Q,synthetic materia medica
Sulphur,redness; cracked skin; pigmentation; swelling; pus formation,allergy,6X,synthetic materia medica
Kali Bromatum,burning; pigmentation; swelling; pus formation; hormonal acne,chronic,Q,synthetic materia medica
Thuja Occidentalis,burning; vesicular eruptions; hormonal acne; oily skin; pimples; eczema,allergy,30C,synthetic materia medica
Pulsatilla,vesicular eruptions; dry skin; cracked skin,acute inflammation,30C,synthetic materia medica
Kali Bromatum,hormonal acne; facial eruptions; sensitive skin,chronic,30C,synthetic materia medica
Calcarea Sulph,chronic eruptions; facial eruptions; rash; pus formation; oily skin; pigmentation,hormonal,Q,synthetic materia medica
Hepar Sulph,hormonal acne; vesicular eruptions; itching,acute inflammation,30C,synthetic materia medica
Belladonna,chronic eruptions; pigmentation; facial eruptions,chronic,6X,synthetic materia medica
Arsenicum Album,eczema; itching; hormonal acne; redness; burning; rash,acute inflammation,30C,synthetic materia medica
Graphites,acne; cracked skin; redness; pigmentation; dull skin; rash,allergy,200C,synthetic materia medica
Kali Bromatum,allergic rash; rash; pigmentation; facial eruptions,skin,6X,synthetic materia medica
Sepia,sensitive skin; redness; eczema; allergic rash; hormonal acne; vesicular eruptions,general,30C,synthetic materia medica
Belladonna,vesicular eruptions; facial eruptions; dry skin; redness; acne,hormonal,200C,synthetic materia medica
Rhus Toxicodendron,rash; facial eruptions; swelling,chronic,30C,synthetic materia medica
Lycopodium,cracked skin; itching; acne; rash,hormonal,30C,synthetic materia medica
Sepia,swelling; redness; acne; burning; dry skin,hormonal,6X,synthetic materia medica
Calcarea Sulph,facial eruptions; vesicular eruptions; sensitive skin; pus formation; chronic eruptions,general,30C,synthetic materia medica
Calcarea Sulph,hormonal acne; dry skin; pus formation,hormonal,30C,synthetic materia medica
Silicea,chronic eruptions; redness; dull skin; cracked skin; rash,general,Q,synthetic materia medica
Graphites,oily skin; itching; rash,skin,Q,synthetic materia medica
Sulphur,facial eruptions; pigmentation; rash; allergic rash,general,6X,synthetic materia medica
Bryonia,dull skin; chronic eruptions; redness; dry skin; sensitive skin,hormonal,200C,synthetic materia medica
Belladonna,redness; acne; itching; dull skin,allergy,6X,synthetic materia medica
Bryonia,rash; facial eruptions; pimples; oily skin; hormonal acne,chronic,Q,synthetic materia medica
Lycopodium,eczema; pimples; oily skin,acute inflammation,200C,synthetic materia medica
Berberis Aquifolium,hormonal acne; acne; facial eruptions; pimples; rash; eczema,allergy,6X,synthetic materia medica
Nux Vomica,dry skin; pigmentation; allergic rash; chronic eruptions; oily skin,allergy,6X,synthetic materia medica
Calcarea Sulph,sensitive skin; dull skin; dry skin; vesicular eruptions; hormonal acne,general,30C,synthetic materia medica
Natrum Muriaticum,dry skin; hormonal acne; swelling,acute inflammation,Q,synthetic materia medica
Bryonia,redness; rash; swelling; allergic rash; hormonal acne,hormonal,Q,synthetic materia medica
Graphites,hormonal acne; pimples; dull skin; facial eruptions,acute inflammation,200C,synthetic materia medica
Mercurius Solubilis,redness; eczema; pigmentation; rash; dull skin,acute inflammation,Q,synthetic materia medica
Antimonium Crudum,swelling; vesicular eruptions; redness; sensitive skin; hormonal acne; rash,allergy,200C,synthetic materia medica
Kali Bromatum,sensitive skin; oily skin; acne; hormonal acne; pus formation; pigmentation,acute inflammation,6X,synthetic materia medica
Berberis Aquifolium,pimples; dry skin; vesicular eruptions; hormonal acne,skin,30C,synthetic materia medica
Natrum Muriaticum,dry skin; pimples; pus formation; itching; cracked skin; allergic rash,skin,Q,synthetic materia medica
Mercurius Solubilis,chronic eruptions; allergic rash; pigmentation; burning; swelling,skin,30C,synthetic materia medica
Hepar Sulph,sensitive skin; itching; pigmentation; burning; dull skin; pus formation,acute inflammation,6X,synthetic materia medica
Hepar Sulph,cracked skin; vesicular eruptions; itching; dry skin,hormonal,200C,synthetic materia medica
Nux Vomica,hormonal acne; swelling; itching; pimples,allergy,30C,synthetic materia medica
Kali Bromatum,facial eruptions; pimples; pigmentation,general,30C,synthetic materia medica
Natrum Muriaticum,cracked skin; sensitive skin; eczema; swelling,acute inflammation,30C,synthetic materia medica
Mercurius Solubilis,oily skin; chronic eruptions; dull skin,allergy,6X,synthetic materia medica
Nux Vomica,vesicular eruptions; eczema; acne; hormonal acne; chronic eruptions; facial eruptions,hormonal,Q,synthetic materia medica
Kali Bromatum,dull skin; chronic eruptions; vesicular eruptions; pus formation; acne; cracked skin,chronic,30C,synthetic materia medica
Calcarea Sulph,cracked skin; eczema; pimples; burning,skin,Q,synthetic materia medica
Belladonna,pigmentation; redness; oily skin; dry skin; hormonal acne,acute inflammation,200C,synthetic materia medica
Nux Vomica,pus formation; pigmentation; rash; itching; vesicular eruptions; allergic rash,hormonal,6X,synthetic materia medica
Berberis Aquifolium,vesicular eruptions; chronic eruptions; cracked skin; eczema; dull skin,general,Q,synthetic materia medica
Graphites,rash; itching; oily skin; redness,hormonal,30C,synthetic materia medica
Sepia,acne; chronic eruptions; dry skin,skin,30C,synthetic materia medica
Bryonia,redness; swelling; facial eruptions,acute inflammation,200C,synthetic materia medica
Belladonna,cracked skin; allergic rash; pigmentation; chronic eruptions; redness,hormonal,Q,synthetic materia medica
Sulphur,redness; chronic eruptions; swelling; pus formation,general,200C,synthetic materia medica
Graphites,cracked skin; swelling; sensitive skin; chronic eruptions; pigmentation,general,30C,synthetic materia medica
Graphites,redness; vesicular eruptions; rash; burning; pigmentation,chronic,30C,synthetic materia medica
Bryonia,itching; cracked skin; allergic rash; pimples; vesicular eruptions; burning,allergy,30C,synthetic materia medica
Sulphur,cracked skin; itching; dry skin; vesicular eruptions; pus formation; pimples,acute inflammation,200C,synthetic materia medica
Nux Vomica,facial eruptions; allergic rash; dry skin; acne; cracked skin,general,Q,synthetic materia medica
Hepar Sulph,swelling; facial eruptions; redness; burning; cracked skin,acute inflammation,6X,synthetic materia medica
Antimonium Crudum,pigmentation; burning; hormonal acne; allergic rash; dry skin; chronic eruptions,acute inflammation,6X,synthetic materia medica
Thuja Occidentalis,hormonal acne; sensitive skin; chronic eruptions; rash; itching; allergic rash,allergy,Q,synthetic materia medica
Berberis Aquifolium,dull skin; dry skin; oily skin; facial eruptions; pus formation; chronic eruptions,acute inflammation,200C,synthetic materia medica
Lycopodium,dull skin; pimples; allergic rash; facial eruptions; hormonal acne; oily skin,acute inflammation,30C,synthetic materia medica
Kali Bromatum,cracked skin; pus formation; sensitive skin; acne; rash; eczema,hormonal,6X,synthetic materia medica
Graphites,facial eruptions; vesicular eruptions; swelling; dry skin; allergic rash,hormonal,200C,synthetic materia medica
Antimonium Crudum,cracked skin; rash; allergic rash; sensitive skin,general,30C,synthetic materia medica
Arsenicum Album,hormonal acne; vesicular eruptions; chronic eruptions; oily skin; dry skin,allergy,200C,synthetic materia medica
Silicea,cracked skin; facial eruptions; chronic eruptions,skin,6X,synthetic materia medica
Belladonna,allergic rash; itching; sensitive skin,allergy,Q,synthetic materia medica
Arsenicum Album,oily skin; acne; vesicular eruptions; allergic rash,chronic,Q,synthetic materia medica
Apis Mellifica,pus formation; allergic rash; chronic eruptions,hormonal,30C,synthetic materia medica
Berberis Aquifolium,acne; pimples; cracked skin; dull skin,allergy,200C,synthetic materia medica
Lycopodium,pus formation; sensitive skin; dull skin; pigmentation; vesicular eruptions,allergy,200C,synthetic materia medica
Pulsatilla,pimples; allergic rash; hormonal acne; chronic eruptions; swelling; rash,skin,Q,synthetic materia medica
Bryonia,burning; pigmentation; oily skin; itching; redness; pus formation,acute inflammation,Q,synthetic materia medica
Kali Bromatum,facial eruptions; pus formation; dry skin; chronic eruptions; allergic rash,general,6X,synthetic materia medica
Graphites,swelling; hormonal acne; dry skin; facial eruptions; chronic eruptions,chronic,30C,synthetic materia medica
Apis Mellifica,oily skin; pimples; dry skin; pigmentation; facial eruptions; eczema,chronic,6X,synthetic materia medica
Rhus Toxicodendron,chronic eruptions; facial eruptions; swelling; burning,skin,200C,synthetic materia medica
Belladonna,pigmentation; allergic rash; itching; rash; dry skin,acute inflammation,30C,synthetic materia medica
Silicea,hormonal acne; burning; dry skin; pus formation,acute inflammation,6X,synthetic materia medica
Pulsatilla,sensitive skin; dry skin; vesicular eruptions; oily skin,general,200C,synthetic materia medica
Bryonia,chronic eruptions; burning; rash; dry skin,allergy,30C,synthetic materia medica
Calcarea Sulph,swelling; dull skin; pimples,allergy,30C,synthetic materia medica
Apis Mellifica,swelling; chronic eruptions; vesicular eruptions; acne; redness; cracked skin,hormonal,Q,synthetic materia medica
Hepar Sulph,pigmentation; itching; hormonal acne; vesicular eruptions; burning,skin,6X,synthetic materia medica
Sepia,pus formation; dry skin; eczema; pigmentation,general,6X,synthetic materia medica
Graphites,pimples; eczema; pus formation; oily skin; acne; pigmentation,allergy,30C,synthetic materia medica
Sulphur,redness; vesicular eruptions; sensitive skin; dull skin; cracked skin; itching,general,200C,synthetic materia medica
Rhus Toxicodendron,facial eruptions; eczema; sensitive skin; cracked skin,allergy,200C,synthetic materia medica
Sepia,sensitive skin; burning; pimples; redness,hormonal,Q,synthetic materia medica
Nux Vomica,vesicular eruptions; itching; allergic rash,chronic,30C,synthetic materia medica
Nux Vomica,vesicular eruptions; dry skin; chronic eruptions; eczema,hormonal,Q,synthetic materia medica
Berberis Aquifolium,swelling; pus formation; allergic rash,chronic,6X,synthetic materia medica
Sulphur,pigmentation; facial eruptions; hormonal acne; allergic rash; acne; pimples,general,30C,synthetic materia medica
Mercurius Solubilis,pus formation; oily skin; itching,chronic,200C,synthetic materia medica
Graphites,burning; rash; dry skin,skin,Q,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; itching; pus formation; pimples; redness,allergy,Q,synthetic materia medica
Berberis Aquifolium,pigmentation; hormonal acne; facial eruptions; pimples; cracked skin; sensitive skin,skin,30C,synthetic materia medica
Antimonium Crudum,allergic rash; pus formation; facial eruptions; sensitive skin,hormonal,30C,synthetic materia medica
Mercurius Solubilis,pus formation; cracked skin; pimples; dull skin; swelling; pigmentation,allergy,6X,synthetic materia medica
Bryonia,burning; swelling; redness,hormonal,Q,synthetic materia medica
Kali Bromatum,vesicular eruptions; pimples; acne; cracked skin; hormonal acne; itching,skin,200C,synthetic materia medica
Pulsatilla,pimples; rash; pus formation; vesicular eruptions,hormonal,Q,synthetic materia medica
Belladonna,rash; chronic eruptions; cracked skin,acute inflammation,Q,synthetic materia medica
Bryonia,rash; swelling; redness; cracked skin; pigmentation; dry skin,skin,200C,synthetic materia medica
Calcarea Sulph,pigmentation; hormonal acne; pus formation,allergy,Q,synthetic materia medica
Pulsatilla,hormonal acne; pimples; dull skin; burning; allergic rash; sensitive skin,general,30C,synthetic materia medica
Belladonna,dry skin; pus formation; pigmentation; pimples; chronic eruptions,general,30C,synthetic materia medica
Kali Bromatum,allergic rash; facial eruptions; rash; eczema; pigmentation,allergy,200C,synthetic materia medica
Thuja Occidentalis,oily skin; vesicular eruptions; acne; pus formation; hormonal acne,allergy,6X,synthetic materia medica
Arsenicum Album,hormonal acne; dry skin; cracked skin; chronic eruptions,chronic,6X,synthetic materia medica
Arsenicum Album,pigmentation; chronic eruptions; pimples; itching,chronic,6X,synthetic materia medica
Rhus Toxicodendron,pus formation; redness; hormonal acne; burning,acute inflammation,Q,synthetic materia medica
Apis Mellifica,dry skin; pimples; sensitive skin; facial eruptions; oily skin,allergy,30C,synthetic materia medica
Lycopodium,redness; vesicular eruptions; allergic rash,skin,30C,synthetic materia medica
Calcarea Sulph,acne; pus formation; dry skin; swelling,acute inflammation,Q,synthetic materia medica
Natrum Muriaticum,vesicular eruptions; redness; chronic eruptions,allergy,200C,synthetic materia medica
Thuja Occidentalis,pigmentation; rash; chronic eruptions; vesicular eruptions,skin,200C,synthetic materia medica
Berberis Aquifolium,cracked skin; dull skin; allergic rash; facial eruptions,chronic,6X,synthetic materia medica
Pulsatilla,swelling; chronic eruptions; rash; pus formation,acute inflammation,6X,synthetic materia medica
Silicea,itching; hormonal acne; pigmentation; dull skin; burning; allergic rash,skin,6X,synthetic materia medica
Mercurius Solubilis,cracked skin; pimples; itching,chronic,200C,synthetic materia medica
Mercurius Solubilis,pigmentation; facial eruptions; dry skin,acute inflammation,6X,synthetic materia medica
Berberis Aquifolium,pimples; allergic rash; itching; burning; dry skin; swelling,general,Q,synthetic materia medica
Belladonna,hormonal acne; facial eruptions; eczema; swelling; pus formation,hormonal,6X,synthetic materia medica
Graphites,pimples; burning; allergic rash; hormonal acne; dull skin,hormonal,200C,synthetic materia medica
Silicea,dry skin; allergic rash; rash; itching; pus formation,acute inflammation,Q,synthetic materia medica
Lycopodium,rash; dry skin; acne,acute inflammation,30C,synthetic materia medica
Apis Mellifica,pus formation; dry skin; swelling; cracked skin; eczema; burning,skin,30C,synthetic materia medica
Arsenicum Album,acne; burning; redness; oily skin,skin,30C,synthetic materia medica
Nux Vomica,facial eruptions; dull skin; chronic eruptions,skin,6X,synthetic materia medica
Antimonium Crudum,dull skin; swelling; pimples; itching,allergy,30C,synthetic materia medica
Natrum Muriaticum,pigmentation; allergic rash; acne,general,200C,synthetic materia medica
Kali Bromatum,acne; sensitive skin; oily skin; itching; pimples,general,6X,synthetic materia medica
Thuja Occidentalis,chronic eruptions; pimples; vesicular eruptions,acute inflammation,6X,synthetic materia medica
Nux Vomica,facial eruptions; redness; swelling,acute inflammation,Q,synthetic materia medica
Pulsatilla,itching; vesicular eruptions; acne; dull skin; eczema; facial eruptions,skin,200C,synthetic materia medica
Antimonium Crudum,pimples; facial eruptions; pigmentation; chronic eruptions; vesicular eruptions,chronic,6X,synthetic materia medica
Arsenicum Album,hormonal acne; redness; acne; dull skin; itching,acute inflammation,30C,synthetic materia medica
Natrum Muriaticum,sensitive skin; pigmentation; itching; acne; rash; swelling,general,6X,synthetic materia medica
Natrum Muriaticum,swelling; pus formation; dull skin; burning; facial eruptions,hormonal,200C,synthetic materia medica
Hepar Sulph,rash; hormonal acne; vesicular eruptions; sensitive skin; cracked skin,acute inflammation,200C,synthetic materia medica
Thuja Occidentalis,hormonal acne; rash; itching; cracked skin; swelling; sensitive skin,hormonal,30C,synthetic materia medica
Calcarea Sulph,pus formation; oily skin; facial eruptions,general,6X,synthetic materia medica
Sepia,dull skin; sensitive skin; pigmentation; oily skin; redness; cracked skin,general,Q,synthetic materia medica
Apis Mellifica,eczema; cracked skin; facial eruptions,allergy,30C,synthetic materia medica
Mercurius Solubilis,itching; allergic rash; redness,chronic,200C,synthetic materia medica
Rhus Toxicodendron,pimples; redness; chronic eruptions,allergy,6X,synthetic materia medica
Bryonia,chronic eruptions; pus formation; hormonal acne,acute inflammation,200C,synthetic materia medica
Belladonna,eczema; rash; hormonal acne; sensitive skin,skin,30C,synthetic materia medica
Arsenicum Album,pigmentation; burning; eczema; hormonal acne; vesicular eruptions; dry skin,general,Q,synthetic materia medica
Rhus Toxicodendron,vesicular eruptions; cracked skin; dry skin; burning; eczema; sensitive skin,allergy,30C,synthetic materia medica
Silicea,dry skin; burning; hormonal acne,general,Q,synthetic materia medica
Hepar Sulph,swelling; facial eruptions; vesicular eruptions; rash,general,30C,synthetic materia medica
Bryonia,swelling; burning; rash,chronic,6X,synthetic materia medica
Nux Vomica,pimples; cracked skin; allergic rash; eczema; oily skin,hormonal,30C,synthetic materia medica
Nux Vomica,facial eruptions; redness; dull skin,general,200C,synthetic materia medica
Mercurius Solubilis,eczema; swelling; pus formation,general,6X,synthetic materia medica
Kali Bromatum,acne; dull skin; burning; allergic rash; redness,allergy,30C,synthetic materia medica
Bryonia,pus formation; cracked skin; redness; allergic rash,skin,30C,synthetic materia medica
Lycopodium,chronic eruptions; burning; acne; facial eruptions; vesicular eruptions; swelling,chronic,6X,synthetic materia medica
Antimonium Crudum,burning; oily skin; pimples; chronic eruptions; swelling,allergy,6X,synthetic materia medica
Belladonna,acne; rash; pimples; pus formation,hormonal,Q,synthetic materia medica
Lycopodium,dull skin; acne; chronic eruptions; pigmentation; pimples,hormonal,Q,synthetic materia medica
Sulphur,pigmentation; burning; facial eruptions; rash; eczema,chronic,Q,synthetic materia medica
Belladonna,facial eruptions; pimples; rash,allergy,6X,synthetic materia medica
Thuja Occidentalis,vesicular eruptions; swelling; pus formation; oily skin; dull skin; pimples,hormonal,Q,synthetic materia medica
Antimonium Crudum,cracked skin; sensitive skin; pimples; acne; dull skin,skin,Q,synthetic materia medica
Nux Vomica,oily skin; sensitive skin; vesicular eruptions; facial eruptions; chronic eruptions; redness,skin,200C,synthetic materia medica
Bryonia,pus formation; oily skin; pigmentation; chronic eruptions,allergy,Q,synthetic materia medica
Hepar Sulph,hormonal acne; eczema; burning; pus formation,chronic,Q,synthetic materia medica
Antimonium Crudum,redness; cracked skin; allergic rash; hormonal acne,hormonal,6X,synthetic materia medica
Bryonia,redness; sensitive skin; rash,allergy,200C,synthetic materia medica
Lycopodium,chronic eruptions; pus formation; redness,hormonal,Q,synthetic materia medica
Thuja Occidentalis,swelling; rash; burning; pus formation; pigmentation; oily skin,skin,200C,synthetic materia medica
Rhus Toxicodendron,dull skin; oily skin; acne; swelling; pus formation,general,200C,synthetic materia medica
Rhus Toxicodendron,pus formation; hormonal acne; facial eruptions; redness; pigmentation; sensitive skin,chronic,200C,synthetic materia medica
Nux Vomica,vesicular eruptions; pigmentation; cracked skin; oily skin; chronic eruptions; dry skin,skin,6X,synthetic materia medica
Belladonna,pigmentation; pus formation; oily skin; burning,allergy,30C,synthetic materia medica
Graphites,redness; sensitive skin; hormonal acne; dull skin,allergy,Q,synthetic materia medica
Mercurius Solubilis,allergic rash; dry skin; vesicular eruptions; sensitive skin; chronic eruptions; eczema,chronic,30C,synthetic materia medica
Natrum Muriaticum,sensitive skin; cracked skin; pigmentation,general,30C,synthetic materia medica
Sepia,facial eruptions; burning; vesicular eruptions; itching; sensitive skin,skin,6X,synthetic materia medica
Rhus Toxicodendron,pus formation; allergic rash; facial eruptions,allergy,200C,synthetic materia medica
Lycopodium,pimples; redness; swelling,acute inflammation,6X,synthetic materia medica
Kali Bromatum,swelling; acne; facial eruptions; dry skin,general,6X,synthetic materia medica
Hepar Sulph,facial eruptions; eczema; redness; hormonal acne; burning; vesicular eruptions,acute inflammation,Q,synthetic materia medica
Silicea,dull skin; acne; pimples,skin,6X,synthetic materia medica
Berberis Aquifolium,burning; itching; rash; sensitive skin; swelling,chronic,200C,synthetic materia medica
Pulsatilla,allergic rash; facial eruptions; dry skin; eczema; hormonal acne; oily skin,general,6X,synthetic materia medica
Calcarea Sulph,dull skin; dry skin; pimples; cracked skin,acute inflammation,30C,synthetic materia medica
Berberis Aquifolium,hormonal acne; chronic eruptions; pus formation; acne; swelling,general,Q,synthetic materia medica
Graphites,eczema; chronic eruptions; hormonal acne,general,6X,synthetic materia medica
Silicea,chronic eruptions; dry skin; sensitive skin; itching; acne; eczema,skin,6X,synthetic materia medica
Belladonna,rash; dry skin; burning,skin,200C,synthetic materia medica
Antimonium Crudum,redness; burning; pimples; rash,allergy,200C,synthetic materia medica
Graphites,pus formation; allergic rash; pigmentation; facial eruptions,allergy,Q,synthetic materia medica
Hepar Sulph,cracked skin; allergic rash; hormonal acne; pimples; itching,hormonal,200C,synthetic materia medica
Graphites,dry skin; vesicular eruptions; pigmentation; facial eruptions; oily skin; eczema,allergy,Q,synthetic materia medica
Hepar Sulph,swelling; burning; facial eruptions,chronic,30C,synthetic materia medica
Mercurius Solubilis,sensitive skin; rash; oily skin; itching,acute inflammation,Q,synthetic materia medica
Hepar Sulph,sensitive skin; allergic rash; cracked skin; oily skin,skin,30C,synthetic materia medica
Pulsatilla,pus formation; acne; cracked skin; eczema,general,Q,synthetic materia medica
Sulphur,itching; hormonal acne; redness; pigmentation,allergy,6X,synthetic materia medica
Hepar Sulph,allergic rash; dry skin; vesicular eruptions; cracked skin,hormonal,6X,synthetic materia medica
Belladonna,acne; itching; chronic eruptions; burning; redness,skin,30C,synthetic materia medica
Lycopodium,pigmentation; pus formation; sensitive skin,acute inflammation,30C,synthetic materia medica
Lycopodium,chronic eruptions; facial eruptions; allergic rash; cracked skin,hormonal,30C,synthetic materia medica
Lycopodium,oily skin; swelling; redness; rash,skin,6X,synthetic materia medica
Mercurius Solubilis,pus formation; chronic eruptions; pigmentation; cracked skin; hormonal acne,general,Q,synthetic materia medica
Silicea,pus formation; burning; dry skin,skin,Q,synthetic materia medica
Apis Mellifica,itching; rash; allergic rash; facial eruptions,general,Q,synthetic materia medica
Arsenicum Album,sensitive skin; burning; vesicular eruptions; rash; dull skin; redness,general,200C,synthetic materia medica
Bryonia,rash; chronic eruptions; pigmentation,hormonal,200C,synthetic materia medica
Mercurius Solubilis,dry skin; redness; cracked skin; burning,allergy,6X,synthetic materia medica
Rhus Toxicodendron,allergic rash; oily skin; cracked skin; dry skin; rash; sensitive skin,allergy,6X,synthetic materia medica
Thuja Occidentalis,pimples; sensitive skin; cracked skin; chronic eruptions,acute inflammation,200C,synthetic materia medica
Silicea,eczema; allergic rash; redness; oily skin; rash,allergy,Q,synthetic materia medica
Kali Bromatum,chronic eruptions; oily skin; burning; facial eruptions; pimples,general,6X,synthetic materia medica
Apis Mellifica,vesicular eruptions; redness; hormonal acne; sensitive skin; pimples; dry skin,skin,30C,synthetic materia medica
Belladonna,redness; sensitive skin; cracked skin; oily skin; facial eruptions,acute inflammation,6X,synthetic materia medica
Arsenicum Album,dull skin; hormonal acne; eczema,chronic,6X,synthetic materia medica
Silicea,oily skin; pimples; facial eruptions,hormonal,Q,synthetic materia medica
Kali Bromatum,itching; swelling; hormonal acne; dry skin; facial eruptions,hormonal,200C,synthetic materia medica
Thuja Occidentalis,facial eruptions; itching; cracked skin; burning; oily skin; eczema,chronic,200C,synthetic materia medica
Mercurius Solubilis,burning; hormonal acne; chronic eruptions; sensitive skin,acute inflammation,Q,synthetic materia medica
Kali Bromatum,burning; dull skin; eczema; allergic rash,chronic,30C,synthetic materia medica
Sepia,chronic eruptions; oily skin; acne,general,200C,synthetic materia medica
Berberis Aquifolium,rash; swelling; itching,allergy,Q,synthetic materia medica
Apis Mellifica,eczema; dry skin; burning,skin,30C,synthetic materia medica
Arsenicum Album,facial eruptions; pus formation; swelling; redness; dull skin,general,200C,synthetic materia medica
Hepar Sulph,oily skin; vesicular eruptions; swelling; dull skin; dry skin,chronic,30C,synthetic materia medica
Bryonia,vesicular eruptions; swelling; dry skin,hormonal,200C,synthetic materia medica
Arsenicum Album,sensitive skin; itching; chronic eruptions; dull skin; rash; cracked skin,allergy,Q,synthetic materia medica
Natrum Muriaticum,eczema; sensitive skin; redness; pimples; vesicular eruptions,skin,Q,synthetic materia medica
Kali Bromatum,dry skin; eczema; chronic eruptions; allergic rash,acute inflammation,200C,synthetic materia medica
Antimonium Crudum,oily skin; rash; itching; dull skin,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,itching; dry skin; vesicular eruptions,chronic,200C,synthetic materia medica
Hepar Sulph,pigmentation; chronic eruptions; redness; eczema; pimples,acute inflammation,200C,synthetic materia medica
Graphites,sensitive skin; itching; eczema; allergic rash,general,200C,synthetic materia medica
Thuja Occidentalis,cracked skin; sensitive skin; redness; dull skin,skin,Q,synthetic materia medica
